id,job_count,preempted_job_count,start_time,finish_time,real_duration,jobs_total_duration,job_max_duration,preempted_jobs_total_duration,operation_type,operation_state,in_timeframe
c4b32505-15f65099-3f403e8-c712332c,101,0,120.373035s,163.491000s,49.652041s,1269.966953s,24.516000s,0.000000s,MapReduce,completed,1
77c6a717-1fcd1189-3f403e8-9753d5bd,132,0,136.857004s,165.786000s,34.530878s,943.425937s,14.255000s,0.000000s,MapReduce,completed,1
6834c009-9527319d-3f403e8-577f3498,4,0,0.000000s,166.141000s,167.487156s,569.193998s,166.113000s,0.000000s,Reduce,completed,0
821fb4c7-462b46ab-3f403e8-7fe47fd5,1,0,161.606616s,167.144000s,6.678462s,4.760999s,4.761000s,0.000000s,Map,completed,1
5ac923b5-ef7a0b65-3f403e8-1614d636,3216,0,136.382778s,169.531000s,100.517284s,59125.945395s,29.605000s,0.000000s,Reduce,completed,1
7d58dfc4-f1d743dd-3f403e8-e1efe2fb,392,3,0.000000s,172.272000s,600.000000s,27032.494798s,91.994000s,172.457997s,Map,completed,0
5369168b-fa27aeb0-3f403e8-a8c44f08,131,0,143.877516s,172.476000s,37.919629s,1002.195942s,16.073000s,0.000000s,MapReduce,completed,1
e7fb52f9-a5f2f3-3f403e8-cc843f11,132,0,141.373460s,172.510000s,37.644259s,996.524947s,16.116000s,0.000000s,MapReduce,completed,1
62873bc6-46e6e2b9-3f403e8-359b19aa,3,0,150.823423s,175.176000s,27.034614s,50.396000s,23.812000s,0.000000s,Map,completed,1
e4d24946-b07f717-3f403e8-c849a4c5,19,0,144.142604s,175.283000s,33.427988s,495.682990s,30.941000s,0.000000s,Map,completed,1
40fed838-a4c5681a-3f403e8-1806789e,132,0,141.361023s,175.530000s,41.645363s,1179.521009s,17.145000s,0.000000s,MapReduce,completed,1
d3850bbe-c55fb63a-3f403e8-610080ce,1,0,171.975374s,175.760000s,5.666323s,3.349999s,3.350000s,0.000000s,Sort,completed,1
94b12d61-3eeadd93-3f403e8-b270f74a,132,0,140.734998s,175.980000s,43.386780s,916.265942s,21.588000s,0.000000s,MapReduce,completed,1
20105c16-aa8c23eb-3f403e8-f8122ee3,3,0,164.648101s,176.854000s,14.432932s,29.974999s,11.454000s,0.000000s,Map,completed,1
9d0c63-3efc3dbd-3f403e8-87b352aa,44,0,80.795518s,179.109000s,142.851720s,2336.899980s,74.025000s,0.000000s,MapReduce,failed,1
1a2f63dc-929bb6cd-3f403e8-18dcddd2,132,0,139.160648s,180.112000s,51.145866s,1491.883929s,21.757000s,0.000000s,MapReduce,completed,1
50fe1606-af4b4673-3f403e8-b91888e9,1,0,0.000000s,180.326000s,181.797300s,180.301000s,180.301000s,0.000000s,MapReduce,completed,0
3f0522ad-300425e1-3f403e8-5fb1fca0,132,0,141.754795s,183.759000s,50.947072s,1485.248989s,21.830000s,0.000000s,MapReduce,completed,1
f904efdd-281b4c50-3f403e8-ccae3e6f,12,0,162.576882s,184.305000s,26.306057s,72.497997s,14.444000s,0.000000s,MapReduce,completed,1
b2b5ef57-1de283b3-3f403e8-175cfad4,1,0,176.574928s,185.118000s,10.111691s,7.689999s,7.690000s,0.000000s,Map,completed,1
bbb0014e-b0997530-3f403e8-ad9c851a,2,0,147.028120s,185.239000s,40.478512s,72.385000s,37.870000s,0.000000s,Map,completed,1
ccae73f2-21392f7f-3f403e8-62bc1d45,1,0,179.650935s,185.875000s,7.662190s,5.442999s,5.443000s,0.000000s,Map,completed,1
35ffec2e-e97fcf3e-3f403e8-f5a2c2a2,132,0,145.068470s,186.357000s,50.279382s,1073.968951s,20.136000s,0.000000s,MapReduce,completed,1
a79298e1-dbdbd8bc-3f403e8-4bd354bd,1,0,179.734125s,186.474000s,8.922356s,6.041999s,6.042000s,0.000000s,Map,completed,1
b36da17d-83e60455-3f403e8-dd7bfbb8,225,0,158.027447s,186.498000s,34.251599s,2781.226922s,28.113000s,0.000000s,Map,completed,1
330473c8-ba6d4ec1-3f403e8-a9d348e2,90,0,0.000000s,187.323000s,307.297104s,4324.395961s,153.216000s,0.000000s,MapReduce,completed,0
ecf06cb2-357692ed-3f403e8-7b60d3f6,2,0,180.362148s,187.597000s,10.066294s,6.909998s,4.155000s,0.000000s,MapReduce,completed,1
ee941d02-8ab3bf3a-3f403e8-17eb0f5b,132,0,149.263325s,187.776000s,48.012901s,1142.145969s,21.203000s,0.000000s,MapReduce,completed,1
e8853d3e-d07f55b9-3f403e8-30d7ad56,1,0,176.040231s,188.641000s,14.809078s,12.217999s,12.218000s,0.000000s,Map,completed,1
3acc82e6-4a7418cf-3f403e8-a0f2352e,4,0,163.051581s,189.257000s,29.897410s,34.439999s,15.843000s,0.000000s,MapReduce,completed,1
67010c96-73067f91-3f403e8-69b5659a,6,0,150.904136s,189.370000s,40.919226s,196.426999s,37.899000s,0.000000s,Map,completed,1
cd328d4c-24cff48b-3f403e8-e0c9a5b7,132,0,163.250943s,191.646000s,35.170496s,1035.972940s,19.861000s,0.000000s,MapReduce,completed,1
6f4b9fde-68764e31-3f403e8-77cd888e,132,0,146.778855s,193.024000s,53.986941s,1665.019938s,24.490000s,0.000000s,MapReduce,completed,1
17953152-291b4442-3f403e8-d3a6b741,7,0,171.301599s,193.149000s,23.961831s,102.718997s,21.710000s,0.000000s,Map,completed,1
753b5aef-e07ac981-3f403e8-f1fb2994,1,0,188.599843s,195.532000s,7.819357s,6.071999s,6.072000s,0.000000s,Map,completed,1
75dda34f-3da612e2-3f403e8-8fbda479,3,0,185.407428s,197.707000s,14.394511s,35.199996s,12.251000s,0.000000s,Map,completed,1
fac1b10c-90b433d3-3f403e8-cb02c47f,1,0,187.177196s,198.894000s,14.045399s,11.436999s,11.437000s,0.000000s,Map,completed,1
3f9b4aac-c6a753f3-3f403e8-39b4597f,1,0,196.149321s,199.084000s,4.160175s,2.601999s,2.602000s,0.000000s,Sort,failed,1
fb1f1c37-f08b5305-3f403e8-9e2eb167,88,0,159.255011s,200.006000s,113.274737s,991.216953s,28.564000s,0.000000s,MapReduce,completed,1
5b328aac-c2b78353-3f403e8-99fd209c,1,0,195.221657s,200.528000s,7.290767s,5.050000s,5.050000s,0.000000s,Map,completed,1
45339644-14854e08-3f403e8-174feac4,1,0,198.005946s,201.464000s,5.174168s,2.974999s,2.975000s,0.000000s,Sort,completed,1
e33c7047-c52b982b-3f403e8-e5b339ab,1,0,199.161183s,201.953000s,4.550668s,2.454000s,2.454000s,0.000000s,Sort,completed,1
893d7331-1e9d6a59-3f403e8-dd49bbe6,3,0,189.073898s,202.662000s,16.069571s,34.763996s,13.202000s,0.000000s,Map,completed,1
